concept,2024,2023,2022,2021,2020
us-gaap_CashAndCashEquivalentsAtCarryingValue,5893000000,4680000000,4208000000,4295000000,5647000000
us-gaap_MarketableSecuritiesCurrent,1084000000,727000000,103000000,0,1180000000
us-gaap_RestrictedCashAndCashEquivalentsAtCarryingValue,545000000,805000000,680000000,631000000,250000000
us-gaap_AccountsReceivableNetCurrent,3333000000,3404000000,2779000000,2439000000,1073000000
us-gaap_PrepaidExpenseAndOtherAssetsCurrent,1390000000,1681000000,1479000000,1454000000,1215000000
us-gaap_AssetsCurrent,12245000000,11297000000,9249000000,8819000000,9882000000
us-gaap_RestrictedCashAndCashEquivalentsNoncurrent,2172000000,1519000000,1789000000,2879000000,1494000000
us-gaap_RestrictedInvestments,7019000000,4779000000,1614000000,,
uber_MarketableAndNonMarketableInvestments,8460000000,6101000000,,,
us-gaap_EquityMethodInvestments,302000000,353000000,870000000,800000000,1079000000
us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,1952000000,,,,
us-gaap_OperatingLeaseRightOfUseAsset,1158000000,1241000000,1449000000,1388000000,1274000000
us-gaap_IntangibleAssetsNetExcludingGoodwill,1125000000,1425000000,1874000000,2412000000,1564000000
us-gaap_Goodwill,8066000000,8151000000,8263000000,8420000000,6109000000
us-gaap_DeferredIncomeTaxAssetsNet,6171000000,,,,
us-gaap_OtherAssetsNoncurrent,2574000000,1760000000,518000000,397000000,124000000
us-gaap_Assets,51244000000,38699000000,32109000000,38774000000,33252000000
us-gaap_AccountsPayableCurrent,858000000,790000000,728000000,860000000,235000000
uber_InsuranceReserveCurrent,2754000000,2016000000,1692000000,1442000000,1243000000
us-gaap_OperatingLeaseLiabilityCurrent,175000000,190000000,201000000,185000000,175000000
uber_AccruedLiabilitiesAndOtherLiabilitiesCurrent,7689000000,,,,
us-gaap_LiabilitiesCurrent,11476000000,9454000000,8853000000,9024000000,6865000000
uber_InsuranceReserveNoncurrent,7042000000,4722000000,3028000000,2546000000,2223000000
us-gaap_LongTermDebtNoncurrent,8347000000,9459000000,9265000000,9276000000,7560000000
us-gaap_OperatingLeaseLiabilityNoncurrent,1454000000,1550000000,1673000000,1644000000,1544000000
us-gaap_OtherLiabilitiesNoncurrent,449000000,832000000,786000000,935000000,1306000000
us-gaap_Liabilities,28768000000,26017000000,23605000000,23425000000,19498000000
us-gaap_CommitmentsAndContingencies,,,,,
us-gaap_RedeemableNoncontrollingInterestEquityCarryingAmount,93000000,654000000,430000000,204000000,787000000
us-gaap_CommonStockValue,0,0,0,0,0
us-gaap_AdditionalPaidInCapital,42801000000,42264000000,40550000000,38608000000,35931000000
us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,-517000000,-421000000,-443000000,-524000000,-535000000
us-gaap_RetainedEarningsAccumulatedDeficit,-20726000000,-30594000000,-32800000000,-23600000000,-23100000000
us-gaap_StockholdersEquity,21558000000,11249000000,7340000000,14458000000,12266000000
us-gaap_NonredeemableNoncontrollingInterest,825000000,779000000,734000000,687000000,701000000
us-gaap_LiabilitiesAndStockholdersEquity,51244000000,38699000000,32109000000,38774000000,33252000000
us-gaap_Revenues,43978000000,37281000000,31877000000,17455000000,11139000000
us-gaap_CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,26651000000,22457000000,19659000000,9351000000,5154000000
uber_OperationsAndSupportExpense,2732000000,2689000000,2413000000,1877000000,1819000000
us-gaap_SellingAndMarketingExpense,4337000000,4356000000,4756000000,4789000000,3583000000
us-gaap_ResearchAndDevelopmentExpense,3109000000,3164000000,2798000000,2054000000,2205000000
us-gaap_GeneralAndAdministrativeExpense,3639000000,2682000000,3136000000,2316000000,2666000000
us-gaap_DepreciationDepletionAndAmortization,-711000000,,,,
us-gaap_CostsAndExpenses,-41179000000,-36171000000,-33709000000,-21289000000,-16002000000
us-gaap_OperatingIncomeLoss,2799000000,1110000000,-1832000000,-3834000000,-4863000000
us-gaap_InterestExpenseNonoperating,-523000000,,,,
us-gaap_NonoperatingIncomeExpense,1849000000,1844000000,-7029000000,3292000000,-1625000000
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,4125000000,2321000000,-9426000000,-1025000000,-6946000000
us-gaap_IncomeTaxExpenseBenefit,-5800000000,-213000000,-181000000,-492000000,-192000000
us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-11000000,-269000000,-3000000,-74000000,-20000000
us-gaap_NetIncomeLoss,9856000000,1887000000,-9141000000,-496000000,-6768000000
us-gaap_EarningsPerShareBasic,4.71,0.93,-4.64,-0.26,-3.86
